time_hr,T_simulated_C,T_reference_C,dT_cooling_K,Q_total_W,Q_evap_W,Q_conv_W
13.3167,9.929,25.795,15.866,1276.44,1276.44,0.0
13.3333,9.91,25.8,15.89,1277.1,1277.1,0.0
13.35,9.891,25.805,15.914,1277.76,1277.76,0.0
13.3667,9.872,25.81,15.938,1278.43,1278.43,0.0
13.3833,9.854,25.815,15.961,1279.09,1279.09,0.0
13.4,9.835,25.82,15.985,1279.75,1279.75,0.0
13.4167,9.816,25.825,16.009,1280.41,1280.41,0.0
13.4333,9.797,25.83,16.033,1281.08,1281.08,0.0
13.45,9.778,25.835,16.057,1281.74,1281.74,0.0
13.4667,9.76,25.84,16.08,1282.4,1282.4,0.0
13.4833,9.741,25.845,16.104,1283.06,1283.06,0.0
13.5,9.722,25.85,16.128,1283.72,1283.72,0.0
13.5167,9.703,25.855,16.152,1284.38,1284.38,0.0
13.5333,9.684,25.86,16.176,1285.04,1285.04,0.0
13.55,9.665,25.865,16.2,1285.7,1285.7,0.0
13.5667,9.646,25.87,16.224,1286.36,1286.36,0.0
13.5833,9.627,25.875,16.248,1287.02,1287.02,0.0
13.6,9.609,25.88,16.271,1287.68,1287.68,0.0
13.6167,9.59,25.885,16.295,1288.34,1288.34,0.0
13.6333,9.571,25.89,16.319,1289.0,1289.0,0.0
13.65,9.552,25.895,16.343,1289.66,1289.66,0.0
13.6667,9.533,25.9,16.367,1290.32,1290.32,0.0
13.6833,9.514,25.905,16.391,1290.98,1290.98,0.0
13.7,9.495,25.91,16.415,1291.64,1291.64,0.0
13.7167,9.476,25.915,16.439,1292.29,1292.29,0.0
13.7333,9.457,25.92,16.463,1292.95,1292.95,0.0
13.75,9.438,25.925,16.487,1293.61,1293.61,0.0
13.7667,9.419,25.93,16.511,1294.26,1294.26,0.0
13.7833,9.4,25.935,16.535,1294.92,1294.92,0.0
13.8,9.381,25.94,16.559,1295.58,1295.58,0.0
13.8167,9.362,25.945,16.583,1296.23,1296.23,0.0
13.8333,9.342,25.95,16.608,1296.89,1296.89,0.0
13.85,9.323,25.955,16.632,1297.54,1297.54,0.0
13.8667,9.304,25.96,16.656,1298.2,1298.2,0.0
13.8833,9.285,25.965,16.68,1298.85,1298.85,0.0
13.9,9.266,25.97,16.704,1299.51,1299.51,0.0
13.9167,9.247,25.975,16.728,1300.16,1300.16,0.0
13.9333,9.228,25.98,16.752,1300.82,1300.82,0.0
13.95,9.208,25.985,16.777,1301.47,1301.47,0.0
13.9667,9.189,25.99,16.801,1302.12,1302.12,0.0
13.9833,9.17,25.995,16.825,1302.78,1302.78,0.0
14.0,9.151,26.0,16.849,1303.43,1303.43,0.0
14.0167,9.123,25.997,16.873,1304.37,1304.37,0.0
14.0333,9.096,25.993,16.898,1305.3,1305.3,0.0
14.05,9.068,25.99,16.922,1306.23,1306.23,0.0
14.0667,9.041,25.987,16.946,1307.17,1307.17,0.0
14.0833,9.013,25.983,16.97,1308.1,1308.1,0.0
14.1,8.985,25.98,16.995,1309.03,1309.03,0.0
14.1167,8.958,25.977,17.019,1309.96,1309.96,0.0
14.1333,8.93,25.973,17.043,1310.89,1310.89,0.0
14.15,8.902,25.97,17.068,1311.82,1311.82,0.0
14.1667,8.875,25.967,17.092,1312.74,1312.74,0.0
14.1833,8.847,25.963,17.117,1313.67,1313.67,0.0
14.2,8.819,25.96,17.141,1314.6,1314.6,0.0
14.2167,8.791,25.957,17.165,1315.52,1315.52,0.0
14.2333,8.763,25.953,17.19,1316.45,1316.45,0.0
14.25,8.736,25.95,17.214,1317.37,1317.37,0.0
14.2667,8.708,25.947,17.239,1318.29,1318.29,0.0
14.2833,8.68,25.943,17.263,1319.21,1319.21,0.0
14.3,8.652,25.94,17.288,1320.13,1320.13,0.0
14.3167,8.624,25.937,17.312,1321.05,1321.05,0.0
14.3333,8.596,25.933,17.337,1321.97,1321.97,0.0
14.35,8.569,25.93,17.361,1322.89,1322.89,0.0
14.3667,8.541,25.927,17.386,1323.81,1323.81,0.0
14.3833,8.513,25.923,17.411,1324.73,1324.73,0.0
14.4,8.485,25.92,17.435,1325.64,1325.64,0.0
14.4167,8.457,25.917,17.46,1326.56,1326.56,0.0
14.4333,8.429,25.913,17.485,1327.47,1327.47,0.0
14.45,8.401,25.91,17.509,1328.38,1328.38,0.0
14.4667,8.373,25.907,17.534,1329.29,1329.29,0.0
14.4833,8.345,25.903,17.559,1330.2,1330.2,0.0
14.5,8.317,25.9,17.583,1331.12,1331.12,0.0
14.5167,8.289,25.897,17.608,1332.02,1332.02,0.0
14.5333,8.26,25.893,17.633,1332.93,1332.93,0.0
14.55,8.232,25.89,17.658,1333.84,1333.84,0.0
14.5667,8.204,25.887,17.682,1334.75,1334.75,0.0
14.5833,8.176,25.883,17.707,1335.65,1335.65,0.0
14.6,8.148,25.88,17.732,1336.56,1336.56,0.0
14.6167,8.12,25.877,17.757,1337.46,1337.46,0.0
14.6333,8.092,25.873,17.782,1338.36,1338.36,0.0
14.65,8.063,25.87,17.807,1339.27,1339.27,0.0
14.6667,8.035,25.867,17.831,1340.17,1340.17,0.0
14.6833,8.007,25.863,17.856,1341.07,1341.07,0.0
14.7,7.979,25.86,17.881,1341.97,1341.97,0.0
14.7167,7.95,25.857,17.906,1342.87,1342.87,0.0
14.7333,7.922,25.853,17.931,1343.76,1343.76,0.0
14.75,7.894,25.85,17.956,1344.66,1344.66,0.0
14.7667,7.865,25.847,17.981,1345.56,1345.56,0.0
14.7833,7.837,25.843,18.006,1346.45,1346.45,0.0
14.8,7.809,25.84,18.031,1347.35,1347.35,0.0
14.8167,7.78,25.837,18.056,1348.24,1348.24,0.0
14.8333,7.752,25.833,18.081,1349.13,1349.13,0.0
14.85,7.724,25.83,18.106,1350.02,1350.02,0.0
14.8667,7.695,25.827,18.131,1350.91,1350.91,0.0
14.8833,7.667,25.823,18.157,1351.8,1351.8,0.0
14.9,7.638,25.82,18.182,1352.69,1352.69,0.0
14.9167,7.61,25.817,18.207,1353.58,1353.58,0.0
14.9333,7.581,25.813,18.232,1354.47,1354.47,0.0
14.95,7.553,25.81,18.257,1355.35,1355.35,0.0
14.9667,7.524,25.807,18.282,1356.24,1356.24,0.0
14.9833,7.496,25.803,18.308,1357.12,1357.12,0.0
15.0,7.467,25.8,18.333,1358.0,1358.0,0.0
15.0167,7.435,25.793,18.358,1358.99,1358.99,0.0
15.0333,7.403,25.787,18.383,1359.97,1359.97,0.0
15.05,7.371,25.78,18.409,1360.96,1360.96,0.0
15.0667,7.34,25.773,18.434,1361.94,1361.94,0.0
15.0833,7.308,25.767,18.459,1362.92,1362.92,0.0
15.1,7.276,25.76,18.484,1363.9,1363.9,0.0
15.1167,7.244,25.753,18.51,1364.87,1364.87,0.0
15.1333,7.211,25.747,18.535,1365.85,1365.85,0.0
15.15,7.179,25.74,18.561,1366.83,1366.83,0.0
15.1667,7.147,25.733,18.586,1367.8,1367.8,0.0
15.1833,7.115,25.727,18.611,1368.77,1368.77,0.0
15.2,7.083,25.72,18.637,1369.75,1369.75,0.0
15.2167,7.051,25.713,18.662,1370.72,1370.72,0.0
15.2333,7.019,25.707,18.688,1371.69,1371.69,0.0
15.25,6.987,25.7,18.713,1372.65,1372.65,0.0
15.2667,6.955,25.693,18.739,1373.62,1373.62,0.0
15.2833,6.922,25.687,18.764,1374.59,1374.59,0.0
15.3,6.89,25.68,18.79,1375.55,1375.55,0.0
15.3167,6.858,25.673,18.815,1376.51,1376.51,0.0
15.3333,6.826,25.667,18.841,1377.47,1377.47,0.0
15.35,6.793,25.66,18.867,1378.44,1378.44,0.0
15.3667,6.761,25.653,18.892,1379.39,1379.39,0.0
15.3833,6.729,25.647,18.918,1380.35,1380.35,0.0
15.4,6.697,25.64,18.943,1381.31,1381.31,0.0
15.4167,6.664,25.633,18.969,1382.27,1382.27,0.0
15.4333,6.632,25.627,18.995,1383.22,1383.22,0.0
15.45,6.599,25.62,19.021,1384.17,1384.17,0.0
15.4667,6.567,25.613,19.046,1385.13,1385.13,0.0
15.4833,6.535,25.607,19.072,1386.08,1386.08,0.0
15.5,6.502,25.6,19.098,1387.03,1387.03,0.0
15.5167,6.47,25.593,19.124,1387.97,1387.97,0.0
15.5333,6.437,25.587,19.149,1388.92,1388.92,0.0
15.55,6.405,25.58,19.175,1389.87,1389.87,0.0
15.5667,6.372,25.573,19.201,1390.81,1390.81,0.0
15.5833,6.34,25.567,19.227,1391.75,1391.75,0.0
15.6,6.307,25.56,19.253,1392.7,1392.7,0.0
15.6167,6.275,25.553,19.279,1393.64,1393.64,0.0
15.6333,6.242,25.547,19.304,1394.58,1394.58,0.0
15.65,6.21,25.54,19.33,1395.52,1395.52,0.0
15.6667,6.177,25.533,19.356,1396.45,1396.45,0.0
15.6833,6.144,25.527,19.382,1397.39,1397.39,0.0
15.7,6.112,25.52,19.408,1398.32,1398.32,0.0
15.7167,6.079,25.513,19.434,1399.26,1399.26,0.0
15.7333,6.046,25.507,19.46,1400.19,1400.19,0.0
15.75,6.014,25.5,19.486,1401.12,1401.12,0.0
15.7667,5.981,25.493,19.512,1402.05,1402.05,0.0
15.7833,5.948,25.487,19.538,1402.98,1402.98,0.0
15.8,5.916,25.48,19.564,1403.9,1403.9,0.0
15.8167,5.883,25.473,19.591,1404.83,1404.83,0.0
15.8333,5.85,25.467,19.617,1405.76,1405.76,0.0
15.85,5.817,25.46,19.643,1406.68,1406.68,0.0
15.8667,5.784,25.453,19.669,1407.6,1407.6,0.0
15.8833,5.752,25.447,19.695,1408.52,1408.52,0.0
15.9,5.719,25.44,19.721,1409.44,1409.44,0.0
15.9167,5.686,25.433,19.747,1410.36,1410.36,0.0
15.9333,5.653,25.427,19.774,1411.28,1411.28,0.0
15.95,5.62,25.42,19.8,1412.19,1412.19,0.0
15.9667,5.587,25.413,19.826,1413.11,1413.11,0.0
15.9833,5.554,25.407,19.852,1414.02,1414.02,0.0
16.0,5.521,25.4,19.879,1414.93,1414.93,0.0
16.0167,5.487,25.392,19.905,1415.89,1415.89,0.0
16.0333,5.452,25.383,19.931,1416.84,1416.84,0.0
16.05,5.417,25.375,19.958,1417.8,1417.8,0.0
16.0667,5.383,25.367,19.984,1418.75,1418.75,0.0
16.0833,5.348,25.358,20.01,1419.7,1419.7,0.0
16.1,5.313,25.35,20.037,1420.65,1420.65,0.0
16.1167,5.279,25.342,20.063,1421.6,1421.6,0.0
16.1333,5.244,25.333,20.09,1422.55,1422.55,0.0
16.15,5.209,25.325,20.116,1423.49,1423.49,0.0
16.1667,5.174,25.317,20.142,1424.44,1424.44,0.0
16.1833,5.139,25.308,20.169,1425.38,1425.38,0.0
16.2,5.105,25.3,20.195,1426.32,1426.32,0.0
16.2167,5.07,25.292,20.222,1427.26,1427.26,0.0
16.2333,5.035,25.283,20.248,1428.2,1428.2,0.0
16.25,5.0,25.275,20.275,1429.14,1429.14,0.0
16.2667,4.965,25.267,20.302,1430.07,1430.07,0.0
16.2833,4.93,25.258,20.328,1431.01,1431.01,0.0
16.3,4.895,25.25,20.355,1431.94,1431.94,0.0
16.3167,4.86,25.242,20.381,1432.87,1432.87,0.0
16.3333,4.825,25.233,20.408,1433.8,1433.8,0.0
16.35,4.79,25.225,20.435,1434.73,1434.73,0.0
16.3667,4.755,25.217,20.461,1435.66,1435.66,0.0
16.3833,4.72,25.208,20.488,1436.58,1436.58,0.0
16.4,4.685,25.2,20.515,1437.51,1437.51,0.0
16.4167,4.65,25.192,20.541,1438.43,1438.43,0.0
16.4333,4.615,25.183,20.568,1439.35,1439.35,0.0
16.45,4.58,25.175,20.595,1440.27,1440.27,0.0
16.4667,4.545,25.167,20.622,1441.19,1441.19,0.0
16.4833,4.51,25.158,20.648,1442.1,1442.1,0.0
16.5,4.475,25.15,20.675,1443.02,1443.02,0.0
16.5167,4.44,25.142,20.702,1443.93,1443.93,0.0
16.5333,4.405,25.133,20.729,1444.85,1444.85,0.0
16.55,4.369,25.125,20.756,1445.76,1445.76,0.0
16.5667,4.334,25.117,20.783,1446.67,1446.67,0.0
16.5833,4.299,25.108,20.809,1447.58,1447.58,0.0
16.6,4.264,25.1,20.836,1448.48,1448.48,0.0
16.6167,4.228,25.092,20.863,1449.39,1449.39,0.0
16.6333,4.193,25.083,20.89,1450.29,1450.29,0.0
16.65,4.158,25.075,20.917,1451.2,1451.2,0.0
16.6667,4.123,25.067,20.944,1452.1,1452.1,0.0
16.6833,4.087,25.058,20.971,1453.0,1453.0,0.0
16.7,4.052,25.05,20.998,1453.9,1453.9,0.0
16.7167,4.017,25.042,21.025,1454.79,1454.79,0.0
16.7333,3.981,25.033,21.052,1455.69,1455.69,0.0
16.75,3.946,25.025,21.079,1456.58,1456.58,0.0
16.7667,3.91,25.017,21.106,1457.48,1457.48,0.0
16.7833,3.875,25.008,21.133,1458.37,1458.37,0.0
16.8,3.84,25.0,21.16,1459.26,1459.26,0.0
16.8167,3.804,24.992,21.188,1460.15,1460.15,0.0
16.8333,3.769,24.983,21.215,1461.03,1461.03,0.0
16.85,3.733,24.975,21.242,1461.92,1461.92,0.0
16.8667,3.698,24.967,21.269,1462.8,1462.8,0.0
16.8833,3.662,24.958,21.296,1463.69,1463.69,0.0
16.9,3.627,24.95,21.323,1464.57,1464.57,0.0
16.9167,3.591,24.942,21.351,1465.45,1465.45,0.0
16.9333,3.555,24.933,21.378,1466.33,1466.33,0.0
16.95,3.52,24.925,21.405,1467.2,1467.2,0.0
16.9667,3.484,24.917,21.432,1468.08,1468.08,0.0
16.9833,3.449,24.908,21.46,1468.95,1468.95,0.0
17.0,3.413,24.9,21.487,1469.83,1469.83,0.0
17.0167,3.376,24.89,21.514,1470.74,1470.74,0.0
17.0333,3.338,24.88,21.542,1471.65,1471.65,0.0
17.05,3.301,24.87,21.569,1472.56,1472.56,0.0
17.0667,3.264,24.86,21.596,1473.47,1473.47,0.0
17.0833,3.226,24.85,21.624,1474.37,1474.37,0.0
17.1,3.189,24.84,21.651,1475.28,1475.28,0.0
17.1167,3.151,24.83,21.679,1476.18,1476.18,0.0
17.1333,3.114,24.82,21.706,1477.08,1477.08,0.0
17.15,3.077,24.81,21.733,1477.98,1477.98,0.0
17.1667,3.039,24.8,21.761,1478.88,1478.88,0.0
17.1833,3.002,24.79,21.788,1479.77,1479.77,0.0
17.2,2.964,24.78,21.816,1480.67,1480.67,0.0
17.2167,2.927,24.77,21.843,1481.56,1481.56,0.0
17.2333,2.889,24.76,21.871,1482.45,1482.45,0.0
17.25,2.852,24.75,21.898,1483.34,1483.34,0.0
17.2667,2.814,24.74,21.926,1484.23,1484.23,0.0
17.2833,2.776,24.73,21.954,1485.12,1485.12,0.0
17.3,2.739,24.72,21.981,1486.0,1486.0,0.0
17.3167,2.701,24.71,22.009,1486.89,1486.89,0.0
17.3333,2.664,24.7,22.036,1487.77,1487.77,0.0
17.35,2.626,24.69,22.064,1488.65,1488.65,0.0
17.3667,2.588,24.68,22.092,1489.53,1489.53,0.0
17.3833,2.551,24.67,22.119,1490.41,1490.41,0.0
17.4,2.513,24.66,22.147,1491.28,1491.28,0.0
17.4167,2.475,24.65,22.175,1492.16,1492.16,0.0
17.4333,2.437,24.64,22.203,1493.03,1493.03,0.0
17.45,2.4,24.63,22.23,1493.9,1493.9,0.0
17.4667,2.362,24.62,22.258,1494.77,1494.77,0.0
17.4833,2.324,24.61,22.286,1495.64,1495.64,0.0
17.5,2.286,24.6,22.314,1496.51,1496.51,0.0
17.5167,2.248,24.59,22.342,1497.37,1497.37,0.0
17.5333,2.211,24.58,22.369,1498.23,1498.23,0.0
17.55,2.173,24.57,22.397,1499.1,1499.1,0.0
17.5667,2.135,24.56,22.425,1499.96,1499.96,0.0
17.5833,2.097,24.55,22.453,1500.81,1500.81,0.0
17.6,2.059,24.54,22.481,1501.67,1501.67,0.0
17.6167,2.021,24.53,22.509,1502.53,1502.53,0.0
17.6333,1.983,24.52,22.537,1503.38,1503.38,0.0
17.65,1.945,24.51,22.565,1504.23,1504.23,0.0
17.6667,1.907,24.5,22.593,1505.08,1505.08,0.0
17.6833,1.869,24.49,22.621,1505.93,1505.93,0.0
17.7,1.831,24.48,22.649,1506.78,1506.78,0.0
17.7167,1.793,24.47,22.677,1507.63,1507.63,0.0
17.7333,1.755,24.46,22.705,1508.47,1508.47,0.0
17.75,1.717,24.45,22.733,1509.31,1509.31,0.0
17.7667,1.679,24.44,22.761,1510.16,1510.16,0.0
17.7833,1.641,24.43,22.789,1511.0,1511.0,0.0
17.8,1.603,24.42,22.817,1511.83,1511.83,0.0
17.8167,1.565,24.41,22.845,1512.67,1512.67,0.0
17.8333,1.527,24.4,22.873,1513.51,1513.51,0.0
17.85,1.489,24.39,22.901,1514.34,1514.34,0.0
17.8667,1.451,24.38,22.929,1515.17,1515.17,0.0
17.8833,1.413,24.37,22.957,1516.0,1516.0,0.0
17.9,1.374,24.36,22.986,1516.83,1516.83,0.0
17.9167,1.336,24.35,23.014,1517.66,1517.66,0.0
17.9333,1.298,24.34,23.042,1518.48,1518.48,0.0
17.95,1.26,24.33,23.07,1519.31,1519.31,0.0
17.9667,1.222,24.32,23.098,1520.13,1520.13,0.0
17.9833,1.183,24.31,23.127,1520.95,1520.95,0.0
18.0,1.145,24.3,23.155,1521.77,1521.77,0.0
18.0167,1.107,24.29,23.183,1522.59,1522.59,0.0
18.0333,1.068,24.28,23.212,1523.41,1523.41,0.0
18.05,1.03,24.27,23.24,1524.22,1524.22,0.0
18.0667,0.992,24.26,23.268,1525.04,1525.04,0.0
18.0833,0.954,24.25,23.296,1525.85,1525.85,0.0
18.1,0.915,24.24,23.325,1526.66,1526.66,0.0
18.1167,0.877,24.23,23.353,1527.47,1527.47,0.0
18.1333,0.838,24.22,23.382,1528.27,1528.27,0.0
18.15,0.8,24.21,23.41,1529.08,1529.08,0.0
18.1667,0.762,24.2,23.438,1529.88,1529.88,0.0
18.1833,0.723,24.19,23.467,1530.69,1530.69,0.0
18.2,0.685,24.18,23.495,1531.49,1531.49,0.0
18.2167,0.646,24.17,23.524,1532.29,1532.29,0.0
18.2333,0.608,24.16,23.552,1533.09,1533.09,0.0
18.25,0.569,24.15,23.581,1533.88,1533.88,0.0
18.2667,0.531,24.14,23.609,1534.68,1534.68,0.0
18.2833,0.492,24.13,23.638,1535.47,1535.47,0.0
18.3,0.454,24.12,23.666,1536.26,1536.26,0.0
18.3167,0.415,24.11,23.695,1537.05,1537.05,0.0
18.3333,0.377,24.1,23.723,1537.84,1537.84,0.0
18.35,0.338,24.09,23.752,1538.63,1538.63,0.0
18.3667,0.299,24.08,23.781,1539.41,1539.41,0.0
18.3833,0.261,24.07,23.809,1540.2,1540.2,0.0
18.4,0.222,24.06,23.838,1540.98,1540.98,0.0
18.4167,0.184,24.05,23.866,1541.76,1541.76,0.0
18.4333,0.145,24.04,23.895,1542.54,1542.54,0.0
18.45,0.106,24.03,23.924,1543.32,1543.32,0.0
18.4667,0.068,24.02,23.952,1544.1,1544.1,0.0
18.4833,0.029,24.01,23.981,1544.87,1544.87,0.0
18.5,-0.01,24.0,24.01,1545.65,1545.65,0.0
18.5167,-0.049,23.99,24.039,1546.42,1546.42,0.0
18.5333,-0.087,23.98,24.067,1547.19,1547.19,0.0
18.55,-0.126,23.97,24.096,1547.96,1547.96,0.0
18.5667,-0.165,23.96,24.125,1548.72,1548.72,0.0
18.5833,-0.204,23.95,24.154,1549.49,1549.49,0.0
18.6,-0.242,23.94,24.182,1550.26,1550.26,0.0
18.6167,-0.281,23.93,24.211,1551.02,1551.02,0.0
18.6333,-0.32,23.92,24.24,1551.78,1551.78,0.0
18.65,-0.359,23.91,24.269,1552.54,1552.54,0.0
18.6667,-0.398,23.9,24.298,1553.3,1553.3,0.0
18.6833,-0.437,23.89,24.327,1554.05,1554.05,0.0
18.7,-0.476,23.88,24.356,1554.81,1554.81,0.0
18.7167,-0.514,23.87,24.384,1555.56,1555.56,0.0
18.7333,-0.553,23.86,24.413,1556.32,1556.32,0.0
18.75,-0.592,23.85,24.442,1557.07,1557.07,0.0
18.7667,-0.631,23.84,24.471,1557.82,1557.82,0.0
18.7833,-0.67,23.83,24.5,1558.56,1558.56,0.0
18.8,-0.709,23.82,24.529,1559.31,1559.31,0.0
18.8167,-0.748,23.81,24.558,1560.06,1560.06,0.0
18.8333,-0.787,23.8,24.587,1560.8,1560.8,0.0
18.85,-0.826,23.79,24.616,1561.54,1561.54,0.0
18.8667,-0.865,23.78,24.645,1562.28,1562.28,0.0
18.8833,-0.904,23.77,24.674,1563.02,1563.02,0.0
18.9,-0.943,23.76,24.703,1563.76,1563.76,0.0
18.9167,-0.982,23.75,24.732,1564.49,1564.49,0.0
18.9333,-1.021,23.74,24.761,1565.23,1565.23,0.0
18.95,-1.06,23.73,24.79,1565.96,1565.96,0.0
18.9667,-1.1,23.72,24.82,1566.69,1566.69,0.0
18.9833,-1.139,23.71,24.849,1567.42,1567.42,0.0
19.0,-1.178,23.7,24.878,1568.15,1568.15,0.0
19.0167,-1.215,23.692,24.907,1568.85,1568.85,0.0
19.0333,-1.253,23.683,24.936,1569.54,1569.54,0.0
19.05,-1.29,23.675,24.965,1570.23,1570.23,0.0
19.0667,-1.328,23.667,24.994,1570.93,1570.93,0.0
19.0833,-1.365,23.658,25.024,1571.62,1571.62,0.0
19.1,-1.403,23.65,25.053,1572.31,1572.31,0.0
19.1167,-1.44,23.642,25.082,1572.99,1572.99,0.0
19.1333,-1.478,23.633,25.111,1573.68,1573.68,0.0
19.15,-1.516,23.625,25.141,1574.37,1574.37,0.0
19.1667,-1.553,23.617,25.17,1575.05,1575.05,0.0
19.1833,-1.591,23.608,25.199,1575.73,1575.73,0.0
19.2,-1.628,23.6,25.228,1576.41,1576.41,0.0
19.2167,-1.666,23.592,25.258,1577.09,1577.09,0.0
19.2333,-1.704,23.583,25.287,1577.77,1577.77,0.0
19.25,-1.741,23.575,25.316,1578.45,1578.45,0.0
19.2667,-1.779,23.567,25.346,1579.12,1579.12,0.0
19.2833,-1.817,23.558,25.375,1579.8,1579.8,0.0
19.3,-1.854,23.55,25.404,1580.47,1580.47,0.0
19.3167,-1.892,23.542,25.434,1581.14,1581.14,0.0
19.3333,-1.93,23.533,25.463,1581.81,1581.81,0.0
19.35,-1.967,23.525,25.492,1582.48,1582.48,0.0
19.3667,-2.005,23.517,25.522,1583.15,1583.15,0.0
19.3833,-2.043,23.508,25.551,1583.82,1583.82,0.0
19.4,-2.081,23.5,25.581,1584.48,1584.48,0.0
19.4167,-2.118,23.492,25.61,1585.15,1585.15,0.0
19.4333,-2.156,23.483,25.64,1585.81,1585.81,0.0
19.45,-2.194,23.475,25.669,1586.47,1586.47,0.0
19.4667,-2.232,23.467,25.699,1587.13,1587.13,0.0
19.4833,-2.27,23.458,25.728,1587.79,1587.79,0.0
19.5,-2.308,23.45,25.758,1588.44,1588.44,0.0
19.5167,-2.345,23.442,25.787,1589.1,1589.1,0.0
19.5333,-2.383,23.433,25.817,1589.76,1589.76,0.0
19.55,-2.421,23.425,25.846,1590.41,1590.41,0.0
19.5667,-2.459,23.417,25.876,1591.06,1591.06,0.0
19.5833,-2.497,23.408,25.905,1591.71,1591.71,0.0
19.6,-2.535,23.4,25.935,1592.36,1592.36,0.0
19.6167,-2.573,23.392,25.964,1593.01,1593.01,0.0
19.6333,-2.611,23.383,25.994,1593.65,1593.65,0.0
19.65,-2.649,23.375,26.024,1594.3,1594.3,0.0
19.6667,-2.687,23.367,26.053,1594.94,1594.94,0.0
19.6833,-2.725,23.358,26.083,1595.59,1595.59,0.0
19.7,-2.763,23.35,26.113,1596.23,1596.23,0.0
19.7167,-2.801,23.342,26.142,1596.87,1596.87,0.0
19.7333,-2.839,23.333,26.172,1597.51,1597.51,0.0
19.75,-2.877,23.325,26.202,1598.14,1598.14,0.0
19.7667,-2.915,23.317,26.231,1598.78,1598.78,0.0
19.7833,-2.953,23.308,26.261,1599.42,1599.42,0.0
19.8,-2.991,23.3,26.291,1600.05,1600.05,0.0
19.8167,-3.029,23.292,26.321,1600.68,1600.68,0.0
19.8333,-3.067,23.283,26.35,1601.31,1601.31,0.0
19.85,-3.105,23.275,26.38,1601.94,1601.94,0.0
19.8667,-3.143,23.267,26.41,1602.57,1602.57,0.0
19.8833,-3.181,23.258,26.44,1603.2,1603.2,0.0
19.9,-3.219,23.25,26.469,1603.82,1603.82,0.0
19.9167,-3.258,23.242,26.499,1604.45,1604.45,0.0
19.9333,-3.296,23.233,26.529,1605.07,1605.07,0.0
19.95,-3.334,23.225,26.559,1605.69,1605.69,0.0
19.9667,-3.372,23.217,26.589,1606.31,1606.31,0.0
19.9833,-3.41,23.208,26.619,1606.93,1606.93,0.0
20.0,-3.448,23.2,26.648,1607.55,1607.55,0.0
20.0167,-3.485,23.193,26.678,1608.14,1608.14,0.0
20.0333,-3.521,23.187,26.708,1608.73,1608.73,0.0
20.05,-3.558,23.18,26.738,1609.32,1609.32,0.0
20.0667,-3.595,23.173,26.768,1609.9,1609.9,0.0
20.0833,-3.631,23.167,26.798,1610.49,1610.49,0.0
20.1,-3.668,23.16,26.828,1611.07,1611.07,0.0
20.1167,-3.704,23.153,26.858,1611.65,1611.65,0.0
20.1333,-3.741,23.147,26.888,1612.24,1612.24,0.0
20.15,-3.778,23.14,26.918,1612.82,1612.82,0.0
20.1667,-3.814,23.133,26.948,1613.4,1613.4,0.0
20.1833,-3.851,23.127,26.978,1613.97,1613.97,0.0
20.2,-3.888,23.12,27.008,1614.55,1614.55,0.0
20.2167,-3.924,23.113,27.038,1615.13,1615.13,0.0
20.2333,-3.961,23.107,27.068,1615.7,1615.7,0.0
20.25,-3.998,23.1,27.098,1616.28,1616.28,0.0
20.2667,-4.034,23.093,27.128,1616.85,1616.85,0.0
20.2833,-4.071,23.087,27.158,1617.42,1617.42,0.0
20.3,-4.108,23.08,27.188,1617.99,1617.99,0.0
20.3167,-4.145,23.073,27.218,1618.56,1618.56,0.0
20.3333,-4.181,23.067,27.248,1619.13,1619.13,0.0
20.35,-4.218,23.06,27.278,1619.69,1619.69,0.0
20.3667,-4.255,23.053,27.308,1620.26,1620.26,0.0
20.3833,-4.292,23.047,27.338,1620.82,1620.82,0.0
20.4,-4.328,23.04,27.368,1621.39,1621.39,0.0
20.4167,-4.365,23.033,27.399,1621.95,1621.95,0.0
20.4333,-4.402,23.027,27.429,1622.51,1622.51,0.0
20.45,-4.439,23.02,27.459,1623.07,1623.07,0.0
20.4667,-4.476,23.013,27.489,1623.63,1623.63,0.0
20.4833,-4.512,23.007,27.519,1624.19,1624.19,0.0
20.5,-4.549,23.0,27.549,1624.74,1624.74,0.0
20.5167,-4.586,22.993,27.58,1625.3,1625.3,0.0
20.5333,-4.623,22.987,27.61,1625.85,1625.85,0.0
20.55,-4.66,22.98,27.64,1626.41,1626.41,0.0
20.5667,-4.697,22.973,27.67,1626.96,1626.96,0.0
20.5833,-4.734,22.967,27.7,1627.51,1627.51,0.0
20.6,-4.771,22.96,27.731,1628.06,1628.06,0.0
20.6167,-4.808,22.953,27.761,1628.61,1628.61,0.0
20.6333,-4.845,22.947,27.791,1629.15,1629.15,0.0
20.65,-4.881,22.94,27.821,1629.7,1629.7,0.0
20.6667,-4.918,22.933,27.852,1630.24,1630.24,0.0
20.6833,-4.955,22.927,27.882,1630.79,1630.79,0.0
20.7,-4.992,22.92,27.912,1631.33,1631.33,0.0
20.7167,-5.0,22.913,27.913,1631.44,1631.44,0.0
20.7333,-5.0,22.907,27.907,1631.44,1631.44,0.0
20.75,-5.0,22.9,27.9,1631.44,1631.44,0.0
20.7667,-5.0,22.893,27.893,1631.44,1631.44,0.0
20.7833,-5.0,22.887,27.887,1631.44,1631.44,0.0
20.8,-5.0,22.88,27.88,1631.44,1631.44,0.0
