time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190228:0200,4.43,92.25,0.0,-0.0,0.0,255.65,2.62,236.0,101670.0
20190228:0300,4.2,92.2,0.0,-0.0,0.0,254.5,2.62,236.0,101620.0
20190228:0400,3.96,92.2,0.0,-0.0,0.0,254.5,2.62,237.0,101570.0
20190228:0500,3.64,92.15,0.0,-0.0,0.0,254.5,2.48,231.0,101500.0
20190228:0600,3.42,88.75,0.0,-0.0,0.0,254.5,2.62,228.0,101470.0
20190228:0700,3.77,88.8,35.0,54.16,30.0,257.95,2.62,228.0,101500.0
20190228:0800,5.51,88.85,119.0,80.03,100.0,267.45,2.41,227.0,101520.0
20190228:0900,8.25,76.85,285.0,406.71,139.0,287.6,2.97,230.0,101500.0
20190228:1000,10.28,74.4,312.0,225.09,211.0,289.7,4.14,240.0,101500.0
20190228:1100,12.16,74.6,361.0,247.75,237.0,283.3,6.0,254.0,101510.0
20190228:1200,13.11,69.55,78.0,0.0,78.0,310.2,7.17,256.0,101480.0
20190228:1300,12.93,69.55,86.0,0.0,86.0,343.1,6.62,252.0,101490.0
20190228:1400,12.36,72.05,56.0,0.0,56.0,359.95,5.52,244.0,101420.0
20190228:1500,12.28,74.6,93.0,3.33,92.0,331.7,5.38,243.0,101370.0
20190228:1600,12.33,84.81,92.0,157.23,66.0,335.39,4.31,244.0,101290.0
20190228:1700,11.34,84.45,0.0,0.0,0.0,330.41,4.37,241.0,101260.0
20190228:1800,10.34,84.09,0.0,-0.0,0.0,325.43,4.43,238.0,101230.0
20190228:1900,9.34,83.73,0.0,-0.0,0.0,320.45,4.5,233.0,101240.0
20190228:2000,8.34,83.37,0.0,-0.0,0.0,315.47,4.56,233.0,101210.0
20190228:2100,7.35,83.0,0.0,-0.0,0.0,310.48,4.62,235.0,101180.0
20190228:2200,6.35,82.64,0.0,-0.0,0.0,305.5,4.68,234.0,101150.0
20190228:2300,5.35,82.28,0.0,-0.0,0.0,300.52,4.74,234.0,101080.0
20060301:0000,4.36,81.92,0.0,-0.0,0.0,295.54,4.81,267.0,100040.0
20060301:0100,3.36,81.56,0.0,-0.0,0.0,290.56,4.87,266.0,100000.0
20060301:0200,2.36,81.2,0.0,-0.0,0.0,285.58,4.93,267.0,100000.0
20060301:0300,1.37,80.83,0.0,-0.0,0.0,280.6,4.99,269.0,99970.0
20060301:0400,0.37,80.47,0.0,-0.0,0.0,275.62,5.06,271.0,99970.0
20060301:0500,-0.63,80.11,0.0,-0.0,0.0,270.63,5.12,271.0,99990.0
20060301:0600,-1.62,79.75,0.0,-0.0,0.0,265.65,5.18,268.0,100030.0
20060301:0700,-2.62,79.39,42.0,71.39,35.0,260.67,5.24,272.0,100080.0
20060301:0800,0.27,81.8,88.0,12.33,85.0,294.35,5.79,269.0,100120.0
20060301:0900,0.71,75.7,160.0,27.41,150.0,261.45,5.86,267.0,100160.0
20060301:1000,1.55,64.8,83.0,0.0,83.0,248.1,6.97,272.0,100170.0
20060301:1100,2.22,62.35,270.0,61.23,239.0,261.85,6.9,268.0,100190.0
20060301:1200,2.51,57.7,268.0,52.28,241.0,250.05,6.62,267.0,100170.0
20060301:1300,2.73,60.05,261.0,66.05,229.0,237.25,6.34,266.0,100160.0
20060301:1400,2.71,57.7,288.0,223.07,196.0,230.3,6.0,266.0,100140.0
20060301:1500,2.58,57.7,173.0,108.1,140.0,237.65,5.52,267.0,100150.0
20060301:1600,2.14,59.95,118.0,328.82,62.0,241.9,4.55,266.0,100130.0
20060301:1700,1.15,64.65,0.0,0.0,0.0,228.15,3.72,262.0,100140.0
20060301:1800,0.01,67.1,0.0,-0.0,0.0,220.8,3.45,254.0,100130.0
20060301:1900,-0.19,75.55,0.0,-0.0,0.0,248.65,3.59,229.0,100120.0
20060301:2000,-0.53,75.55,0.0,-0.0,0.0,243.65,3.93,228.0,100100.0
20060301:2100,-0.97,78.5,0.0,-0.0,0.0,231.45,4.07,231.0,100100.0
20060301:2200,-1.22,78.5,0.0,-0.0,0.0,229.9,4.0,233.0,100090.0
20060301:2300,-1.46,78.5,0.0,-0.0,0.0,227.2,3.79,231.0,100070.0
20060302:0000,-1.86,81.65,0.0,-0.0,0.0,217.5,3.59,226.0,100050.0
20060302:0100,-2.19,84.85,0.0,-0.0,0.0,215.3,3.66,224.0,100040.0
20060302:0200,-2.37,84.85,0.0,-0.0,0.0,214.4,3.59,226.0,100030.0
20060302:0300,-2.53,84.85,0.0,-0.0,0.0,213.25,3.38,229.0,100010.0
20060302:0400,-2.66,88.25,0.0,-0.0,0.0,217.3,3.24,229.0,99970.0
20060302:0500,-2.88,88.25,0.0,-0.0,0.0,212.7,3.17,226.0,99970.0
20060302:0600,-3.0,88.25,0.0,-0.0,0.0,215.0,3.17,222.0,99970.0
20060302:0700,-2.59,84.85,60.0,231.1,36.0,223.15,3.24,224.0,99960.0
20060302:0800,-1.38,85.0,203.0,469.7,86.0,227.2,3.38,224.0,100010.0
20060302:0900,0.41,81.8,342.0,628.53,109.0,225.25,4.83,239.0,100020.0
20060302:1000,1.8,67.4,442.0,673.35,132.0,238.05,4.97,250.0,100050.0
20060302:1100,2.63,60.05,486.0,628.87,164.0,251.2,4.9,252.0,100050.0
20060302:1200,3.36,51.3,225.0,17.24,216.0,249.45,5.17,253.0,100030.0
20060302:1300,3.8,47.45,280.0,87.76,237.0,239.4,5.31,254.0,100010.0
20060302:1400,4.08,42.15,278.0,181.93,202.0,237.25,5.45,256.0,99990.0
20060302:1500,4.01,45.7,193.0,161.08,143.0,239.4,4.97,256.0,100020.0
20060302:1600,2.97,57.8,75.0,45.65,67.0,235.9,4.21,255.0,100000.0
20060302:1700,2.1,62.35,0.0,0.0,0.0,245.95,2.9,252.0,100010.0
20060302:1800,0.85,72.75,0.0,-0.0,0.0,245.75,2.97,227.0,100030.0
20060302:1900,0.07,85.1,0.0,-0.0,0.0,252.35,3.17,231.0,100020.0
20060302:2000,-0.16,88.45,0.0,-0.0,0.0,251.4,3.24,224.0,99990.0
20060302:2100,-0.51,88.45,0.0,-0.0,0.0,244.4,3.17,219.0,99960.0
20060302:2200,-0.67,91.95,0.0,-0.0,0.0,248.85,2.97,215.0,99950.0
20060302:2300,-0.99,91.95,0.0,-0.0,0.0,241.15,2.76,210.0,99910.0
20060303:0000,-1.27,88.4,0.0,-0.0,0.0,240.15,2.41,205.0,99870.0
20060303:0100,-1.54,88.4,0.0,-0.0,0.0,242.6,2.07,199.0,99800.0
20060303:0200,-1.83,88.35,0.0,-0.0,0.0,244.4,1.86,190.0,99770.0
20060303:0300,-2.14,88.3,0.0,-0.0,0.0,247.7,1.72,176.0,99730.0
20060303:0400,-2.64,88.25,0.0,-0.0,0.0,244.2,1.52,162.0,99640.0
20060303:0500,-2.95,88.25,0.0,-0.0,0.0,244.6,1.38,149.0,99630.0
20060303:0600,-3.06,88.25,0.0,-0.0,0.0,249.85,1.45,138.0,99600.0
20060303:0700,-2.75,88.25,36.0,18.23,34.0,253.3,1.38,136.0,99590.0
20060303:0800,-1.02,85.0,98.0,15.69,94.0,252.35,1.38,119.0,99540.0
20060303:0900,0.44,81.9,126.0,2.66,125.0,255.25,1.24,107.0,99520.0
20060303:1000,1.57,78.9,155.0,2.14,154.0,268.6,1.59,78.0,99490.0
20060303:1100,2.2,78.95,176.0,1.93,175.0,275.6,2.0,69.0,99440.0
20060303:1200,2.79,70.3,168.0,0.0,168.0,282.35,1.93,78.0,99430.0
20060303:1300,2.87,70.3,264.0,62.57,233.0,284.3,1.66,42.0,99400.0
20060303:1400,3.14,65.1,309.0,264.75,197.0,283.9,2.21,13.0,99380.0
20060303:1500,2.91,67.6,191.0,145.8,145.0,282.35,2.41,5.0,99430.0
20060303:1600,2.42,70.2,80.0,55.51,70.0,260.1,1.86,3.0,99440.0
20060303:1700,1.89,72.95,0.0,0.0,0.0,260.5,1.52,357.0,99450.0
20060303:1800,0.45,78.75,0.0,-0.0,0.0,238.6,1.72,341.0,99480.0
20060303:1900,-0.97,95.6,0.0,-0.0,0.0,254.85,1.59,346.0,99560.0
20060303:2000,-1.73,91.9,0.0,-0.0,0.0,247.1,1.38,337.0,99590.0
20060303:2100,-1.95,91.9,0.0,-0.0,0.0,241.9,1.24,321.0,99600.0
20060303:2200,-2.22,95.55,0.0,-0.0,0.0,239.75,1.17,300.0,99630.0
20060303:2300,-2.92,95.55,0.0,-0.0,0.0,231.65,1.38,270.0,99660.0
20060304:0000,-3.53,91.8,0.0,-0.0,0.0,232.6,1.66,248.0,99690.0
20060304:0100,-4.09,95.5,0.0,-0.0,0.0,217.6,2.0,235.0,99710.0
20060304:0200,-4.25,99.4,0.0,-0.0,0.0,215.6,2.14,229.0,99740.0
20060304:0300,-4.12,99.4,0.0,-0.0,0.0,217.3,2.28,229.0,99720.0
20060304:0400,-3.77,95.5,0.0,-0.0,0.0,220.2,2.41,226.0,99710.0
20060304:0500,-3.33,91.8,0.0,-0.0,0.0,224.3,2.55,223.0,99730.0
20060304:0600,-3.05,88.25,0.0,-0.0,0.0,226.2,2.69,219.0,99700.0
20060304:0700,-3.08,88.25,59.0,129.8,44.0,226.6,2.55,218.0,99680.0
20060304:0800,-1.5,88.4,151.0,126.48,118.0,229.9,2.62,224.0,99680.0
20060304:0900,0.4,85.1,357.0,643.08,111.0,232.05,2.97,232.0,99690.0
20060304:1000,2.05,67.5,468.0,741.33,118.0,233.6,4.07,258.0,99670.0
20060304:1100,3.16,57.8,443.0,416.36,225.0,245.95,4.41,273.0,99660.0
20060304:1200,3.83,53.5,193.0,3.75,191.0,254.65,4.48,282.0,99650.0
20060304:1300,4.11,53.65,294.0,95.82,246.0,261.65,4.48,289.0,99650.0
20060304:1400,3.96,53.65,127.0,0.0,127.0,253.3,4.41,295.0,99650.0
20060304:1500,3.62,55.7,218.0,221.45,147.0,253.5,4.41,300.0,99680.0
20060304:1600,3.03,60.15,119.0,237.74,75.0,253.5,3.79,301.0,99690.0
20060304:1700,2.1,67.5,6.0,0.0,6.0,250.2,3.17,297.0,99760.0
20060304:1800,0.68,72.75,0.0,-0.0,0.0,236.1,2.62,286.0,99830.0
20060304:1900,-0.44,81.75,0.0,-0.0,0.0,237.05,2.28,265.0,99830.0
20060304:2000,-1.31,81.7,0.0,-0.0,0.0,227.75,2.34,262.0,99850.0
20060304:2100,-2.04,81.65,0.0,-0.0,0.0,219.65,2.34,265.0,99870.0
20060304:2200,-2.43,84.85,0.0,-0.0,0.0,221.75,2.28,263.0,99920.0
20060304:2300,-2.83,84.85,0.0,-0.0,0.0,218.1,2.28,262.0,99930.0
20060305:0000,-2.97,84.85,0.0,-0.0,0.0,218.85,2.34,266.0,99960.0
20060305:0100,-2.82,88.25,0.0,-0.0,0.0,225.35,2.34,266.0,99980.0
20060305:0200,-2.81,88.25,0.0,-0.0,0.0,220.2,2.48,261.0,100000.0
20060305:0300,-2.73,88.25,0.0,-0.0,0.0,220.2,2.55,251.0,100000.0
20060305:0400,-2.66,88.25,0.0,-0.0,0.0,217.5,2.9,241.0,99980.0
20060305:0500,-2.58,84.85,0.0,-0.0,0.0,213.45,3.24,237.0,100020.0
20060305:0600,-2.38,84.85,0.0,-0.0,0.0,218.7,3.59,236.0,100050.0
20060305:0700,-1.24,88.4,46.0,32.93,42.0,245.6,4.21,240.0,100120.0
20060305:0800,-0.06,88.45,113.0,29.98,105.0,266.1,3.59,244.0,100190.0
20060305:0900,1.47,85.25,200.0,61.78,176.0,262.6,4.21,257.0,100230.0
20060305:1000,3.04,82.2,221.0,29.29,207.0,257.2,4.21,275.0,100270.0
20060305:1100,4.29,79.2,463.0,477.93,210.0,266.3,4.55,282.0,100320.0
20060305:1200,4.65,76.3,392.0,237.46,264.0,260.1,4.97,286.0,100380.0
20060305:1300,4.88,70.7,374.0,260.67,242.0,265.1,5.45,290.0,100420.0
20060305:1400,4.45,67.9,361.0,433.56,173.0,257.4,5.86,294.0,100490.0
20060305:1500,4.3,65.3,178.0,92.11,148.0,263.6,6.07,296.0,100570.0
20060305:1600,3.65,67.8,69.0,15.79,66.0,256.6,5.31,293.0,100630.0
20060305:1700,2.87,70.3,4.0,0.0,4.0,251.75,4.69,289.0,100720.0
20060305:1800,2.02,70.2,0.0,-0.0,0.0,252.15,4.14,284.0,100810.0
20060305:1900,1.02,75.75,0.0,-0.0,0.0,247.5,3.72,278.0,100940.0
20060305:2000,0.59,81.9,0.0,-0.0,0.0,238.2,3.59,279.0,100980.0
20060305:2100,0.43,81.9,0.0,-0.0,0.0,249.25,3.24,276.0,101000.0
20060305:2200,0.12,85.1,0.0,-0.0,0.0,248.1,2.97,269.0,101030.0
20060305:2300,-0.35,85.05,0.0,-0.0,0.0,237.65,2.9,262.0,101060.0
20060306:0000,-0.77,88.4,0.0,-0.0,0.0,231.45,2.9,257.0,101080.0
20060306:0100,-1.01,85.0,0.0,-0.0,0.0,233.1,2.9,252.0,101100.0
20060306:0200,-1.21,81.7,0.0,-0.0,0.0,232.05,2.9,247.0,101100.0
20060306:0300,-1.33,81.7,0.0,-0.0,0.0,230.65,2.97,243.0,101090.0
20060306:0400,-1.41,81.7,0.0,-0.0,0.0,231.45,2.97,241.0,101070.0
20060306:0500,-1.23,85.0,0.0,-0.0,0.0,243.65,2.97,246.0,101080.0
20060306:0600,-0.96,88.4,0.0,-0.0,0.0,250.8,2.97,254.0,101110.0
20060306:0700,-0.39,91.95,58.0,78.47,48.0,261.45,2.97,260.0,101140.0
20060306:0800,0.76,92.0,54.0,0.0,54.0,259.5,2.83,274.0,101190.0
20060306:0900,2.26,85.3,366.0,646.47,111.0,253.3,3.86,297.0,101230.0
20060306:1000,3.45,82.25,288.0,109.52,235.0,266.1,4.48,304.0,101260.0
20060306:1100,4.22,82.3,272.0,46.72,247.0,274.8,4.55,302.0,101300.0
20060306:1200,5.06,76.4,303.0,75.27,262.0,258.15,4.9,300.0,101330.0
20060306:1300,4.48,76.3,449.0,492.34,197.0,268.6,5.72,303.0,101350.0
20060306:1400,3.95,76.25,97.0,0.0,97.0,274.05,6.0,307.0,101390.0
20060306:1500,4.26,76.25,184.0,99.77,151.0,263.4,5.93,309.0,101430.0
20060306:1600,3.43,82.2,110.0,143.68,82.0,250.6,5.38,306.0,101440.0
20060306:1700,2.83,79.0,7.0,0.0,7.0,240.95,5.45,308.0,101520.0
20060306:1800,2.15,78.95,0.0,-0.0,0.0,245.95,4.83,308.0,101640.0
20060306:1900,1.39,81.95,0.0,-0.0,0.0,237.85,4.28,305.0,101720.0
20060306:2000,1.1,78.8,0.0,-0.0,0.0,243.65,3.93,302.0,101750.0
20060306:2100,0.71,81.9,0.0,-0.0,0.0,232.2,3.79,298.0,101810.0
20060306:2200,0.82,81.9,0.0,-0.0,0.0,247.3,3.79,300.0,101870.0
20060306:2300,0.62,81.9,0.0,-0.0,0.0,246.55,3.24,298.0,101870.0
20060307:0000,0.0,85.1,0.0,-0.0,0.0,235.3,2.9,289.0,101870.0
20060307:0100,-0.31,88.45,0.0,-0.0,0.0,238.55,2.76,283.0,101890.0
20060307:0200,-0.59,91.95,0.0,-0.0,0.0,236.5,2.69,278.0,101920.0
20060307:0300,-1.0,88.4,0.0,-0.0,0.0,228.95,2.48,273.0,101910.0
20060307:0400,-1.3,88.4,0.0,-0.0,0.0,231.45,2.41,269.0,101920.0
20060307:0500,-1.61,88.35,0.0,-0.0,0.0,226.6,2.48,263.0,101950.0
20060307:0600,-1.62,91.9,0.0,-0.0,0.0,237.05,2.34,258.0,101960.0
20060307:0700,-1.08,91.95,39.0,7.49,38.0,253.5,2.0,250.0,101960.0
20060307:0800,0.52,92.0,233.0,516.37,89.0,256.05,1.59,238.0,101960.0
20060307:0900,2.53,88.65,383.0,714.23,97.0,250.4,1.79,236.0,101950.0
20060307:1000,3.91,79.15,401.0,394.03,208.0,245.2,2.55,236.0,101920.0
20060307:1100,4.64,68.0,455.0,417.8,229.0,279.85,3.1,218.0,101870.0
20060307:1200,5.36,60.65,452.0,383.42,241.0,278.85,3.52,201.0,101810.0
20060307:1300,5.76,54.05,382.0,260.98,247.0,293.2,3.79,192.0,101730.0
20060307:1400,5.93,49.95,377.0,461.57,172.0,288.55,3.93,187.0,101640.0
20060307:1500,5.99,46.25,238.0,267.99,148.0,289.5,3.86,183.0,101550.0
20060307:1600,5.67,49.95,91.0,60.07,79.0,288.55,3.38,171.0,101450.0
20060307:1700,4.71,53.8,10.0,22.13,9.0,280.6,3.45,161.0,101360.0
20060307:1800,3.7,60.3,0.0,-0.0,0.0,277.3,3.59,159.0,101320.0
20060307:1900,2.82,79.0,0.0,-0.0,0.0,273.25,3.52,160.0,101260.0
20060307:2000,2.52,82.15,0.0,-0.0,0.0,285.25,3.45,160.0,101220.0
20060307:2100,2.47,85.35,0.0,-0.0,0.0,302.1,3.59,160.0,101140.0
20060307:2200,2.33,92.1,0.0,-0.0,0.0,301.3,3.79,162.0,101090.0
20060307:2300,2.18,92.1,0.0,-0.0,0.0,304.2,3.93,160.0,101040.0
20060308:0000,2.09,92.1,0.0,-0.0,0.0,312.15,4.28,157.0,100950.0
20060308:0100,2.09,95.65,0.0,-0.0,0.0,314.6,4.48,157.0,100850.0
20060308:0200,2.22,95.65,0.0,-0.0,0.0,316.2,4.62,162.0,100750.0
20060308:0300,2.4,95.65,0.0,-0.0,0.0,317.75,4.69,169.0,100630.0
20060308:0400,2.51,92.15,0.0,-0.0,0.0,316.2,4.48,175.0,100540.0
20060308:0500,2.63,92.15,0.0,-0.0,0.0,319.7,4.14,177.0,100480.0
20060308:0600,2.74,92.15,0.0,-0.0,0.0,322.2,4.0,177.0,100420.0
20060308:0700,2.9,95.7,13.0,0.0,13.0,323.2,3.79,181.0,100340.0
20060308:0800,3.19,95.7,119.0,28.08,111.0,325.3,3.72,182.0,100270.0
20060308:0900,3.72,99.4,88.0,0.0,88.0,327.65,3.72,186.0,100200.0
20060308:1000,4.36,99.4,89.0,0.0,89.0,331.1,3.52,190.0,100090.0
20060308:1100,5.34,99.4,89.0,0.0,89.0,335.55,3.31,197.0,99990.0
20060308:1200,6.65,95.8,150.0,0.0,150.0,341.4,3.38,211.0,99920.0
20060308:1300,7.93,95.8,73.0,0.0,73.0,347.0,3.79,218.0,99830.0
20060308:1400,8.5,92.45,86.0,0.0,86.0,352.2,4.69,234.0,99740.0
20060308:1500,8.76,95.85,145.0,29.34,135.0,353.95,5.1,240.0,99650.0
20060308:1600,8.89,95.85,52.0,0.0,52.0,355.3,4.97,236.0,99580.0
20060308:1700,8.88,95.85,2.0,0.0,2.0,355.3,4.9,234.0,99520.0
20060308:1800,8.79,92.45,0.0,-0.0,0.0,354.95,4.07,228.0,99440.0
20060308:1900,8.86,95.85,0.0,-0.0,0.0,356.3,4.41,234.0,99290.0
20060308:2000,8.82,95.85,0.0,-0.0,0.0,357.05,4.28,238.0,99240.0
20060308:2100,8.71,95.85,0.0,-0.0,0.0,356.65,4.14,244.0,99210.0
20060308:2200,8.55,95.85,0.0,-0.0,0.0,353.95,3.79,246.0,99200.0
20060308:2300,8.45,99.4,0.0,-0.0,0.0,354.35,3.66,246.0,99190.0
20060309:0000,8.4,95.85,0.0,-0.0,0.0,354.75,3.72,251.0,99210.0
20060309:0100,8.29,95.85,0.0,-0.0,0.0,354.05,3.79,254.0,99230.0
20060309:0200,8.22,95.85,0.0,-0.0,0.0,352.8,3.86,254.0,99270.0
20060309:0300,8.22,95.85,0.0,-0.0,0.0,353.0,4.14,252.0,99280.0
20060309:0400,8.28,95.85,0.0,-0.0,0.0,353.2,4.41,251.0,99280.0
20060309:0500,8.21,95.85,0.0,-0.0,0.0,353.0,4.41,255.0,99300.0
20060309:0600,7.88,95.8,0.0,-0.0,0.0,352.4,4.14,263.0,99350.0
20060309:0700,7.6,95.8,15.0,0.0,15.0,350.65,4.0,264.0,99460.0
20060309:0800,7.09,95.8,102.0,10.31,99.0,348.55,3.93,273.0,99530.0
20060309:0900,6.65,95.8,127.0,2.42,126.0,348.15,3.52,277.0,99620.0
20060309:1000,6.42,99.4,83.0,0.0,83.0,346.8,3.17,277.0,99650.0
20060309:1100,6.36,99.4,83.0,0.0,83.0,345.05,3.31,276.0,99710.0
20060309:1200,6.46,99.4,119.0,0.0,119.0,345.05,4.21,277.0,99730.0
20060309:1300,6.57,95.8,135.0,0.0,135.0,344.3,4.14,263.0,99750.0
20060309:1400,6.99,89.0,96.0,0.0,96.0,345.25,4.14,254.0,99730.0
20060309:1500,7.12,92.35,85.0,0.0,85.0,347.0,3.59,247.0,99720.0
20060309:1600,7.45,92.35,78.0,23.87,73.0,336.15,2.62,239.0,99690.0
20060309:1700,7.67,89.05,16.0,36.61,14.0,319.5,2.48,225.0,99640.0
20060309:1800,6.97,95.8,0.0,-0.0,0.0,304.2,2.69,208.0,99630.0
20060309:1900,7.29,89.0,0.0,-0.0,0.0,315.45,3.93,212.0,99630.0
20060309:2000,7.11,89.0,0.0,-0.0,0.0,304.4,4.62,222.0,99600.0
20060309:2100,6.78,89.0,0.0,-0.0,0.0,295.5,5.03,230.0,99620.0
20060309:2200,6.35,92.3,0.0,-0.0,0.0,288.75,5.45,236.0,99650.0
20060309:2300,6.16,88.95,0.0,-0.0,0.0,302.85,5.66,240.0,99690.0
20060310:0000,5.66,85.65,0.0,-0.0,0.0,283.5,5.52,238.0,99740.0
20060310:0100,5.19,85.6,0.0,-0.0,0.0,275.3,5.45,236.0,99770.0
20060310:0200,5.06,85.6,0.0,-0.0,0.0,295.5,5.45,234.0,99780.0
20060310:0300,4.66,85.55,0.0,-0.0,0.0,286.4,5.31,233.0,99760.0
20060310:0400,4.15,85.5,0.0,-0.0,0.0,274.05,5.1,230.0,99730.0
20060310:0500,3.79,88.75,0.0,-0.0,0.0,278.1,5.03,228.0,99740.0
20060310:0600,3.48,88.75,0.0,-0.0,0.0,276.55,4.76,226.0,99740.0
20060310:0700,3.37,88.7,63.0,52.78,55.0,273.85,4.83,226.0,99790.0
20060310:0800,4.12,85.5,193.0,205.38,132.0,275.2,4.9,228.0,99800.0
20060310:0900,4.82,85.55,261.0,148.17,199.0,299.55,5.03,232.0,99810.0
20060310:1000,5.23,85.6,163.0,1.97,162.0,313.3,4.62,230.0,99800.0
20060310:1100,5.61,85.65,50.0,0.0,50.0,323.0,4.34,232.0,99770.0
20060310:1200,6.23,88.95,290.0,49.37,262.0,321.05,4.07,239.0,99740.0
20060310:1300,7.02,85.8,91.0,0.0,91.0,302.85,3.86,243.0,99680.0
20060310:1400,7.44,82.65,114.0,0.0,114.0,300.35,4.07,247.0,99650.0
20060310:1500,5.9,82.5,149.0,25.65,140.0,291.45,4.34,259.0,99650.0
20060310:1600,5.19,82.4,24.0,0.0,24.0,300.55,4.0,263.0,99670.0
20060310:1700,4.42,88.8,9.0,0.0,9.0,291.85,3.52,260.0,99690.0
20060310:1800,3.78,92.15,0.0,-0.0,0.0,310.6,2.9,253.0,99720.0
20060310:1900,3.5,92.15,0.0,-0.0,0.0,308.85,2.76,249.0,99750.0
20060310:2000,3.45,92.15,0.0,-0.0,0.0,322.2,2.34,248.0,99760.0
20060310:2100,3.35,95.7,0.0,-0.0,0.0,317.75,1.93,243.0,99780.0
20060310:2200,3.27,95.7,0.0,-0.0,0.0,312.55,1.59,244.0,99810.0
20060310:2300,3.19,95.7,0.0,-0.0,0.0,310.2,1.31,258.0,99860.0
20060311:0000,2.83,99.4,0.0,-0.0,0.0,297.05,1.24,275.0,99880.0
20060311:0100,2.32,99.4,0.0,-0.0,0.0,293.9,1.24,289.0,99970.0
20060311:0200,2.06,99.4,0.0,-0.0,0.0,296.85,1.38,300.0,100040.0
20060311:0300,2.21,99.4,0.0,-0.0,0.0,311.4,1.17,309.0,100080.0
20060311:0400,2.44,95.7,0.0,-0.0,0.0,317.0,1.03,315.0,100150.0
20060311:0500,2.29,99.4,0.0,-0.0,0.0,306.35,1.17,324.0,100240.0
20060311:0600,2.09,99.4,0.0,-0.0,0.0,302.5,1.31,339.0,100350.0
20060311:0700,2.76,95.7,53.0,12.69,51.0,317.2,2.83,4.0,100440.0
20060311:0800,2.84,99.4,78.0,0.0,78.0,311.4,3.38,9.0,100610.0
20060311:0900,2.43,99.4,120.0,0.0,120.0,316.05,4.0,15.0,100770.0
20060311:1000,2.28,92.1,109.0,0.0,109.0,291.25,4.83,18.0,100910.0
20060311:1100,2.81,79.0,184.0,1.77,183.0,291.65,6.28,23.0,101030.0
20060311:1200,3.59,65.2,81.0,0.0,81.0,265.3,6.76,18.0,101140.0
20060311:1300,3.87,62.7,75.0,0.0,75.0,266.85,6.07,11.0,101250.0
20060311:1400,3.75,57.95,243.0,60.22,215.0,242.1,5.86,4.0,101330.0
20060311:1500,3.39,57.8,158.0,30.91,147.0,243.65,5.93,0.0,101410.0
20060311:1600,2.62,55.45,178.0,511.07,66.0,236.85,5.79,358.0,101510.0
20060311:1700,1.37,57.35,33.0,249.91,17.0,221.2,5.45,358.0,101610.0
20060311:1800,0.13,54.8,0.0,-0.0,0.0,223.3,4.9,0.0,101760.0
20060311:1900,-1.44,59.2,0.0,-0.0,0.0,209.95,4.14,1.0,101960.0
20060311:2000,-2.15,64.0,0.0,-0.0,0.0,204.15,3.86,2.0,102050.0
20060311:2100,-2.62,66.6,0.0,-0.0,0.0,203.0,3.38,2.0,102140.0
20060311:2200,-3.0,66.6,0.0,-0.0,0.0,202.6,2.97,1.0,102180.0
20060311:2300,-3.33,69.25,0.0,-0.0,0.0,201.65,2.55,356.0,102260.0
20060312:0000,-3.68,72.05,0.0,-0.0,0.0,201.45,2.21,349.0,102310.0
20060312:0100,-4.11,75.05,0.0,-0.0,0.0,201.15,1.93,338.0,102340.0
20060312:0200,-4.71,78.0,0.0,-0.0,0.0,202.05,1.72,331.0,102440.0
20060312:0300,-4.72,78.0,0.0,-0.0,0.0,201.45,1.45,327.0,102440.0
20060312:0400,-4.75,78.0,0.0,-0.0,0.0,203.6,1.45,333.0,102530.0
20060312:0500,-3.46,69.25,0.0,-0.0,0.0,201.25,1.03,3.0,102540.0
20060312:0600,-3.85,72.05,0.0,0.0,0.0,218.65,1.1,344.0,102630.0
20060312:0700,-4.78,84.6,124.0,439.64,52.0,207.05,1.72,29.0,102760.0
20060312:0800,-2.69,63.9,285.0,653.33,83.0,201.45,2.28,42.0,102860.0
20060312:0900,-1.57,50.2,421.0,720.16,111.0,201.05,2.48,50.0,102940.0
20060312:1000,-0.55,46.35,489.0,604.63,175.0,204.75,2.69,58.0,102970.0
20060312:1100,0.32,46.5,580.0,768.79,142.0,206.7,3.03,67.0,102990.0
20060312:1200,0.64,44.75,587.0,757.49,149.0,220.05,2.62,73.0,103000.0
20060312:1300,0.95,43.05,520.0,626.55,179.0,233.6,2.14,74.0,103000.0
20060312:1400,1.1,43.05,444.0,629.63,148.0,241.15,1.79,69.0,103000.0
20060312:1500,1.04,41.3,339.0,670.61,97.0,249.85,1.86,65.0,103000.0
20060312:1600,0.8,41.15,191.0,567.08,64.0,251.95,2.14,66.0,103020.0
20060312:1700,0.13,48.45,35.0,218.32,20.0,242.1,1.66,71.0,103060.0
20060312:1800,-0.93,50.2,0.0,-0.0,0.0,220.8,1.86,74.0,103110.0
20060312:1900,-2.03,54.4,0.0,-0.0,0.0,227.0,2.0,75.0,103200.0
20060312:2000,-2.52,56.6,0.0,-0.0,0.0,227.4,2.14,80.0,103220.0
20060312:2100,-2.84,58.85,0.0,-0.0,0.0,224.85,2.21,83.0,103220.0
20060312:2200,-3.12,61.2,0.0,-0.0,0.0,220.6,2.28,87.0,103210.0
20060312:2300,-3.55,61.2,0.0,-0.0,0.0,209.4,2.28,94.0,103230.0
20060313:0000,-4.01,63.7,0.0,-0.0,0.0,203.75,2.21,101.0,103240.0
