time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080103:2200,2.15,85.3,0.0,-0.0,0.0,314.5,3.31,101.0,100360.0
20080103:2300,2.29,85.3,0.0,-0.0,0.0,315.05,3.17,106.0,100400.0
20080104:0000,2.39,82.15,0.0,-0.0,0.0,316.8,3.1,107.0,100450.0
20080104:0100,2.38,79.0,0.0,-0.0,0.0,317.9,3.17,106.0,100460.0
20080104:0200,1.97,78.95,0.0,-0.0,0.0,295.1,3.03,110.0,100480.0
20080104:0300,1.56,78.9,0.0,-0.0,0.0,284.5,2.9,109.0,100490.0
20080104:0400,1.36,78.9,0.0,-0.0,0.0,284.85,2.69,112.0,100520.0
20080104:0500,1.55,78.9,0.0,-0.0,0.0,297.25,2.69,119.0,100590.0
20080104:0600,2.22,75.95,0.0,-0.0,0.0,321.25,2.69,125.0,100600.0
20080104:0700,2.84,79.1,0.0,-0.0,0.0,299.55,2.97,138.0,100540.0
20080104:0800,2.29,85.3,10.0,0.0,10.0,254.85,3.24,149.0,100590.0
20080104:0900,3.23,85.4,13.0,0.0,13.0,263.4,3.31,159.0,100640.0
20080104:1000,5.15,82.4,140.0,181.13,99.0,278.3,3.59,170.0,100660.0
20080104:1100,6.43,79.55,120.0,37.13,110.0,307.7,3.59,178.0,100670.0
20080104:1200,6.55,79.55,109.0,18.29,104.0,326.1,3.1,170.0,100640.0
20080104:1300,6.36,76.65,106.0,37.78,97.0,330.35,2.83,154.0,100590.0
20080104:1400,6.09,76.55,22.0,0.0,22.0,326.65,2.76,138.0,100560.0
20080104:1500,5.7,73.65,19.0,31.92,17.0,320.85,3.31,132.0,100520.0
20080104:1600,5.4,68.2,0.0,-0.0,0.0,309.65,3.93,139.0,100490.0
20080104:1700,5.27,65.55,0.0,-0.0,0.0,288.55,4.48,155.0,100470.0
20080104:1800,5.15,63.05,0.0,-0.0,0.0,271.3,5.17,163.0,100400.0
20080104:1900,5.97,65.75,0.0,-0.0,0.0,296.85,5.59,166.0,100320.0
20080104:2000,6.65,71.05,0.0,-0.0,0.0,322.0,5.93,168.0,100260.0
20080104:2100,7.54,79.65,0.0,-0.0,0.0,335.2,6.41,174.0,100140.0
20080104:2200,8.24,79.7,0.0,-0.0,0.0,337.7,6.76,179.0,100100.0
20080104:2300,8.56,79.75,0.0,-0.0,0.0,342.95,7.24,179.0,100030.0
20080105:0000,8.65,79.75,0.0,-0.0,0.0,344.85,7.38,184.0,100000.0
20080105:0100,8.59,82.75,0.0,-0.0,0.0,345.95,7.1,187.0,99930.0
20080105:0200,8.22,89.05,0.0,-0.0,0.0,344.3,7.1,182.0,99850.0
20080105:0300,8.29,89.05,0.0,-0.0,0.0,345.45,7.79,186.0,99780.0
20080105:0400,8.33,92.4,0.0,-0.0,0.0,345.65,8.28,195.0,99720.0
20080105:0500,8.19,92.4,0.0,-0.0,0.0,347.95,7.72,201.0,99720.0
20080105:0600,8.0,92.4,0.0,-0.0,0.0,348.75,6.48,206.0,99750.0
20080105:0700,7.54,89.0,0.0,-0.0,0.0,320.5,4.83,211.0,99800.0
20080105:0800,7.12,92.35,10.0,0.0,10.0,301.7,4.83,214.0,99870.0
20080105:0900,6.99,89.0,10.0,0.0,10.0,287.4,4.83,215.0,99920.0
20080105:1000,7.37,85.8,90.0,21.96,85.0,305.55,5.31,215.0,99990.0
20080105:1100,7.75,89.0,111.0,22.15,105.0,288.15,6.0,218.0,100030.0
20080105:1200,7.66,85.8,93.0,3.63,92.0,303.85,6.83,226.0,100020.0
20080105:1300,7.89,82.7,152.0,191.33,106.0,315.25,6.48,230.0,100030.0
20080105:1400,7.84,82.65,137.0,545.19,45.0,293.95,6.0,232.0,100070.0
20080105:1500,7.5,82.65,38.0,307.01,18.0,279.25,5.72,232.0,100100.0
20080105:1600,6.93,82.6,0.0,-0.0,0.0,280.8,5.17,231.0,100150.0
20080105:1700,6.68,82.6,0.0,-0.0,0.0,295.7,4.9,226.0,100160.0
20080105:1800,6.47,82.6,0.0,-0.0,0.0,302.3,4.69,221.0,100170.0
20080105:1900,5.64,88.9,0.0,-0.0,0.0,294.35,4.14,216.0,100140.0
20080105:2000,5.34,88.9,0.0,-0.0,0.0,315.05,3.52,218.0,100100.0
20080105:2100,5.25,92.25,0.0,-0.0,0.0,322.8,2.83,215.0,100080.0
20080105:2200,5.45,88.9,0.0,-0.0,0.0,336.15,2.76,220.0,100070.0
20080105:2300,5.69,92.3,0.0,-0.0,0.0,336.55,2.97,233.0,100070.0
20080106:0000,5.75,92.3,0.0,-0.0,0.0,327.45,3.1,245.0,100110.0
20080106:0100,5.52,88.9,0.0,-0.0,0.0,311.5,3.24,253.0,100150.0
20080106:0200,4.88,92.25,0.0,-0.0,0.0,281.0,3.17,256.0,100200.0
20080106:0300,4.42,92.25,0.0,-0.0,0.0,275.95,3.17,256.0,100280.0
20080106:0400,3.89,95.75,0.0,-0.0,0.0,262.4,3.17,255.0,100340.0
20080106:0500,3.53,95.7,0.0,-0.0,0.0,262.05,3.1,252.0,100440.0
20080106:0600,2.93,95.7,0.0,-0.0,0.0,245.4,3.1,248.0,100550.0
20080106:0700,3.18,95.7,0.0,-0.0,0.0,260.3,3.17,256.0,100670.0
20080106:0800,2.87,95.7,11.0,0.0,11.0,256.6,3.17,246.0,100770.0
20080106:0900,3.28,95.7,115.0,454.36,47.0,260.1,3.24,238.0,100900.0
20080106:1000,4.04,92.2,205.0,641.49,58.0,255.85,3.1,231.0,100990.0
20080106:1100,4.84,88.85,247.0,645.41,71.0,261.25,3.66,231.0,101080.0
20080106:1200,5.66,85.65,255.0,667.1,70.0,252.15,4.41,236.0,101140.0
20080106:1300,6.03,82.55,224.0,692.18,56.0,260.5,4.28,236.0,101170.0
20080106:1400,6.18,82.55,135.0,484.73,52.0,261.65,3.31,228.0,101240.0
20080106:1500,5.76,85.65,36.0,236.19,20.0,259.5,2.97,221.0,101270.0
20080106:1600,4.62,88.85,0.0,-0.0,0.0,251.4,2.83,209.0,101280.0
20080106:1700,4.06,92.2,0.0,-0.0,0.0,257.95,2.97,197.0,101290.0
20080106:1800,3.95,92.2,0.0,-0.0,0.0,267.05,3.17,193.0,101270.0
20080106:1900,3.38,92.15,0.0,-0.0,0.0,247.3,3.38,183.0,101210.0
20080106:2000,3.31,92.15,0.0,-0.0,0.0,256.4,3.59,177.0,101160.0
20080106:2100,3.39,88.75,0.0,-0.0,0.0,260.5,4.0,173.0,101090.0
20080106:2200,4.02,88.8,0.0,-0.0,0.0,284.65,4.41,172.0,101000.0
20080106:2300,5.02,85.6,0.0,-0.0,0.0,312.75,4.83,171.0,100890.0
20080107:0000,5.7,85.65,0.0,-0.0,0.0,315.85,5.17,167.0,100750.0
20080107:0100,6.3,85.7,0.0,-0.0,0.0,322.35,5.66,170.0,100560.0
20080107:0200,7.0,85.75,0.0,-0.0,0.0,336.75,6.14,187.0,100440.0
20080107:0300,7.62,92.35,0.0,-0.0,0.0,344.65,6.34,210.0,100390.0
20080107:0400,8.39,89.1,0.0,-0.0,0.0,343.5,6.21,229.0,100340.0
20080107:0500,8.11,82.7,0.0,-0.0,0.0,310.4,6.0,235.0,100370.0
20080107:0600,7.52,82.65,0.0,-0.0,0.0,277.3,6.62,236.0,100420.0
20080107:0700,7.34,85.75,0.0,-0.0,0.0,283.7,6.76,236.0,100440.0
20080107:0800,7.14,85.75,16.0,123.07,11.0,286.4,6.55,237.0,100530.0
20080107:0900,7.13,82.6,113.0,437.26,47.0,264.95,6.9,237.0,100640.0
20080107:1000,7.7,71.15,198.0,580.74,64.0,264.95,7.72,241.0,100730.0
20080107:1100,8.38,63.7,89.0,3.64,88.0,264.95,8.21,245.0,100780.0
20080107:1200,8.98,59.15,149.0,85.87,125.0,266.85,8.48,251.0,100840.0
20080107:1300,9.17,54.8,207.0,550.75,72.0,257.6,8.48,256.0,100910.0
20080107:1400,9.04,56.9,71.0,34.52,65.0,253.9,7.79,255.0,101000.0
20080107:1500,8.73,63.7,29.0,85.18,23.0,266.5,6.76,248.0,101050.0
20080107:1600,8.14,71.25,0.0,-0.0,0.0,301.7,7.31,242.0,101070.0
20080107:1700,7.83,79.65,0.0,-0.0,0.0,317.2,7.66,239.0,101100.0
20080107:1800,7.56,79.65,0.0,-0.0,0.0,313.9,7.79,246.0,101150.0
20080107:1900,7.24,85.75,0.0,-0.0,0.0,321.25,7.24,252.0,101200.0
20080107:2000,6.67,79.55,0.0,-0.0,0.0,286.8,6.76,258.0,101320.0
20080107:2100,6.07,73.7,0.0,-0.0,0.0,267.85,6.41,258.0,101410.0
20080107:2200,5.64,73.65,0.0,-0.0,0.0,256.2,6.0,257.0,101510.0
20080107:2300,5.34,70.85,0.0,-0.0,0.0,257.4,5.38,254.0,101570.0
20080108:0000,4.86,73.55,0.0,-0.0,0.0,243.85,4.69,248.0,101650.0
20080108:0100,4.39,76.3,0.0,-0.0,0.0,241.8,4.34,239.0,101710.0
20080108:0200,4.06,79.2,0.0,-0.0,0.0,243.05,4.14,230.0,101730.0
20080108:0300,3.84,82.3,0.0,-0.0,0.0,245.6,4.14,224.0,101760.0
