date,hour,power,power_glass
2024-03-21,6,,
2024-03-21,7,237.45942634080592,26.191502643868347
2024-03-21,8,172.9994471525828,24.097139079410667
2024-03-21,9,145.09164513618595,22.853306424383437
2024-03-21,10,200.27501439609097,32.23742345046694
2024-03-21,11,218.96111484073117,33.29853535916074
2024-03-21,12,195.99388666869976,30.5970559257226
2024-03-21,13,143.59484694789845,24.359057903745118
2024-03-21,14,75.34931976279137,15.088492188901554
2024-03-21,15,31.082538644504524,7.727902067557674
2024-03-21,16,9.865865141564537,2.853102410926686
2024-03-21,17,3.347402583562196,0.8161828852660064
2024-03-21,18,0.0,0.0
2024-03-21,19,,
2024-03-21,20,,
2024-03-21,21,,
2024-03-22,6,,
2024-03-22,7,374.0338661999754,40.50000422550543
2024-03-22,8,347.9890438022199,41.66397804896052
2024-03-22,9,318.2783006878808,39.88602906968442
2024-03-22,10,289.30468608120043,37.671680522482745
2024-03-22,11,245.9789789995437,34.37218727724116
2024-03-22,12,201.72641630575956,30.083593786992093
2024-03-22,13,141.070857640997,23.416777188996615
2024-03-22,14,89.6852742551315,17.09537017821812
2024-03-22,15,43.93770202473716,8.696154253086398
2024-03-22,16,9.728425661179251,3.242402801538219
2024-03-22,17,3.05664782603039,0.8578651367298616
2024-03-22,18,0.0,0.0
2024-03-22,19,,
2024-03-22,20,,
2024-03-22,21,,
2024-03-23,6,,
2024-03-23,7,470.2999372080848,52.1765324888182
2024-03-23,8,379.20548992566626,46.74844248664152
2024-03-23,9,356.07835325822475,45.12587035347342
2024-03-23,10,332.54474086871033,43.140674444753635
2024-03-23,11,294.44712236319646,39.26293731585542
2024-03-23,12,251.4634955338293,35.0050533859001
2024-03-23,13,188.8889054909061,28.106775254378288
2024-03-23,14,122.14123123068481,19.683729663474168
2024-03-23,15,51.01935451392457,9.092211129955118
2024-03-23,16,7.645759080660374,2.2101134651310415
2024-03-23,17,3.7932620670107937,1.0452411257486074
2024-03-23,18,0.0,0.0
2024-03-23,19,,
2024-03-23,20,,
2024-03-23,21,,
2024-03-24,6,,
2024-03-24,7,190.44649396639574,22.101650411107045
2024-03-24,8,0.0,0.0
2024-03-24,9,54.291572606799065,8.395814572920951
2024-03-24,10,54.871490071796664,9.24358967626247
2024-03-24,11,56.38672091916297,10.145677645783671
2024-03-24,12,64.95738201290557,12.499910154252454
2024-03-24,13,26.230310478152568,5.407742008567611
2024-03-24,14,16.430187077898797,3.733036810266495
2024-03-24,15,21.755556189844093,5.738955432064509
2024-03-24,16,11.732429463917356,3.346930148633163
2024-03-24,17,4.050932810703847,1.1790442356517536
2024-03-24,18,0.0,0.0
2024-03-24,19,0.0,0.0
2024-03-24,20,,
2024-03-24,21,,
2024-03-25,6,,
2024-03-25,7,160.51867325862193,19.214480835240458
2024-03-25,8,79.15247103642027,11.428734176422497
2024-03-25,9,162.3724382297095,25.55683366466983
2024-03-25,10,172.36970659246794,28.991310237198647
2024-03-25,11,173.1392680557542,29.304766971029544
2024-03-25,12,130.69321268446512,24.43809187795155
2024-03-25,13,143.0340019190588,24.799221406013444
2024-03-25,14,75.1721981408237,16.326445348895852
2024-03-25,15,24.386148271850104,7.26415243177182
2024-03-25,16,6.7515557674178615,2.2895574244887764
2024-03-25,17,2.3021972886738595,0.7022606651195579
2024-03-25,18,0.0,0.0
2024-03-25,19,0.0,0.0
2024-03-25,20,,
2024-03-25,21,,
2024-03-26,6,,
2024-03-26,7,163.4689845018205,19.23842376916722
2024-03-26,8,69.39833074655809,9.658474599368601
2024-03-26,9,156.73560282220882,23.129398591635347
2024-03-26,10,127.12794137761652,20.469652021380057
2024-03-26,11,168.6952556061628,27.053741853364087
2024-03-26,12,172.36801905743542,27.232832380730926
2024-03-26,13,51.748472825088065,10.433170033172338
2024-03-26,14,56.27075134749969,12.766967082628708
2024-03-26,15,15.38971951719691,4.419092503737927
2024-03-26,16,10.431473098232317,3.302155653101689
2024-03-26,17,3.885865429030584,1.1331354356466619
2024-03-26,18,0.0,0.0
2024-03-26,19,0.0,0.0
2024-03-26,20,,
2024-03-26,21,,
2024-03-27,6,,
2024-03-27,7,126.27680007286042,15.442618863987072
2024-03-27,8,138.5184754080442,20.016372186827518
2024-03-27,9,335.5456253542952,43.00839882002972
