angle,azimuth,date,hour,power
30,100,2024-03-21,6,
30,100,2024-03-21,7,191.8809894015428
30,100,2024-03-21,8,142.9774758693919
30,100,2024-03-21,9,123.14865007536066
30,100,2024-03-21,10,175.81904572587658
30,100,2024-03-21,11,199.8073775167943
30,100,2024-03-21,12,184.687536533264
30,100,2024-03-21,13,140.3514769826253
30,100,2024-03-21,14,77.44813759496137
30,100,2024-03-21,15,35.436530532209524
30,100,2024-03-21,16,9.65501578258657
30,100,2024-03-21,17,3.344267042919671
30,100,2024-03-21,18,0.0
30,100,2024-03-21,19,
30,100,2024-03-21,20,
30,100,2024-03-21,21,
30,100,2024-03-22,6,
30,100,2024-03-22,7,310.8899809454087
30,100,2024-03-22,8,300.53508428615135
30,100,2024-03-22,9,282.15519456110326
30,100,2024-03-22,10,262.31624637088925
30,100,2024-03-22,11,227.29556684573345
30,100,2024-03-22,12,191.53903073932736
30,100,2024-03-22,13,138.48013260904858
30,100,2024-03-22,14,93.82644261357112
30,100,2024-03-22,15,55.54714970136292
30,100,2024-03-22,16,11.190704069837906
30,100,2024-03-22,17,2.997133915183546
30,100,2024-03-22,18,0.0
30,100,2024-03-22,19,
30,100,2024-03-22,20,
30,100,2024-03-22,21,
30,100,2024-03-23,6,
30,100,2024-03-23,7,381.87292552303137
30,100,2024-03-23,8,323.3347549521846
30,100,2024-03-23,9,313.74694888334466
30,100,2024-03-23,10,301.0032963666166
30,100,2024-03-23,11,273.8672902066655
30,100,2024-03-23,12,240.8726274771418
30,100,2024-03-23,13,187.42992963361988
30,100,2024-03-23,14,129.5696836697043
30,100,2024-03-23,15,65.91843947526763
30,100,2024-03-23,16,11.414009963166167
30,100,2024-03-23,17,3.660359448941131
30,100,2024-03-23,18,0.0
30,100,2024-03-23,19,
30,100,2024-03-23,20,
30,100,2024-03-23,21,
30,110,2024-03-21,6,
30,110,2024-03-21,7,185.0024842717959
30,110,2024-03-21,8,142.5545746017102
30,110,2024-03-21,9,125.63534765410232
30,110,2024-03-21,10,182.90214806475515
30,110,2024-03-21,11,211.799685393844
30,110,2024-03-21,12,200.0018833445712
30,110,2024-03-21,13,156.19652951597766
30,110,2024-03-21,14,89.33816898441168
30,110,2024-03-21,15,43.63665898805749
30,110,2024-03-21,16,11.329723128545552
30,110,2024-03-21,17,3.478226544499716
30,110,2024-03-21,18,0.0
30,110,2024-03-21,19,
30,110,2024-03-21,20,
30,110,2024-03-21,21,
30,110,2024-03-22,6,
30,110,2024-03-22,7,298.35616159363406
30,110,2024-03-22,8,299.4902641508627
30,110,2024-03-22,9,287.9257018799054
30,110,2024-03-22,10,272.8900151244772
30,110,2024-03-22,11,240.9256761164885
30,110,2024-03-22,12,207.2492262906697
30,110,2024-03-22,13,153.76342797462942
30,110,2024-03-22,14,109.30656985526558
30,110,2024-03-22,15,72.98444898733945
30,110,2024-03-22,16,16.73064097287622
30,110,2024-03-22,17,3.1104874697099723
30,110,2024-03-22,18,0.0
30,110,2024-03-22,19,
30,110,2024-03-22,20,
30,110,2024-03-22,21,
30,110,2024-03-23,6,
30,110,2024-03-23,7,366.91207780852426
