angle,azimuth,date,hour,power
38,180,01/04/2024,10,121.3330242
38,180,01/04/2024,11,195.8024163
38,180,01/04/2024,12,94.83816665
38,180,01/04/2024,13,55.66586346
38,180,01/04/2024,14,65.50349591
38,180,01/04/2024,15,19.8504934
38,180,01/04/2024,16,32.54361077
38,180,01/04/2024,17,12.36476325
38,180,01/04/2024,18,0
38,180,01/04/2024,19,0
38,180,01/04/2024,20,0
38,180,01/04/2024,21,0
38,180,02/04/2024,6,0
38,180,02/04/2024,7,0
38,180,02/04/2024,8,80.70573972
38,180,02/04/2024,9,181.2958138
38,180,02/04/2024,10,246.2429027
38,180,02/04/2024,11,198.9965473
38,180,02/04/2024,12,231.1265217
38,180,02/04/2024,13,237.5266217
38,180,02/04/2024,14,248.2824229
38,180,02/04/2024,15,240.4744244
38,180,02/04/2024,16,178.5457235
38,180,02/04/2024,17,96.52638258
38,180,02/04/2024,18,0
38,180,02/04/2024,19,0
38,180,02/04/2024,20,0
38,180,02/04/2024,21,0
38,180,03/04/2024,6,0
38,180,03/04/2024,7,0
38,180,03/04/2024,8,34.68837605
38,180,03/04/2024,9,51.50945606
38,180,03/04/2024,10,54.92024278
38,180,03/04/2024,11,54.7744974
38,180,03/04/2024,12,91.19432124
38,180,03/04/2024,13,188.3056241
38,180,03/04/2024,14,296.6668526
38,180,03/04/2024,15,243.5046738
38,180,03/04/2024,16,177.5077383
38,180,03/04/2024,17,97.93493263
38,180,03/04/2024,18,0
38,180,03/04/2024,19,0
38,180,03/04/2024,20,0
38,180,03/04/2024,21,0
38,180,04/04/2024,6,0
38,180,04/04/2024,7,0
38,180,04/04/2024,8,79.2944266
38,180,04/04/2024,9,177.2347741
38,180,04/04/2024,10,240.4004388
38,180,04/04/2024,11,232.7362163
38,180,04/04/2024,12,269.2316596
38,180,04/04/2024,13,254.5064161
38,180,04/04/2024,14,209.977689
38,180,04/04/2024,15,121.2124029
38,180,04/04/2024,16,162.5173244
38,180,04/04/2024,17,69.95154692
38,180,04/04/2024,18,0
38,180,04/04/2024,19,0
38,180,04/04/2024,20,0
